provider	filename	title	artist	contributor	type	key	rating	difficulty	url	chords_only	chords_newlines	chords_newlines_structure	tab
echords	echords-0-km-alma-dormida.out	Alma Dormida	0 KM	yodolphin	chords	G		Expert	http://www.e-chords.com/chords/0-km/alma-dormida	['G', 'Em', 'C', 'D', 'G', 'Em', 'C', 'D', 'G', 'Em', 'C', 'D', 'G', 'Em', 'C', 'D', 'G', 'Em', 'C', 'D', 'G', 'Em', 'C', 'D', 'A', 'F#m', 'D', 'E', 'A', 'F#m', 'D', 'E', 'A', 'Fm', 'D', 'E', 'A', 'Fm', 'D', 'E', 'A', 'F#m', 'D', 'E', 'C', 'Am', 'F', 'G', 'C', 'Am', 'F', 'G', 'C', 'Am', 'F', 'G']	['G', 'Em', 'BR', 'C', 'D', 'BR', 'G', 'Em', 'BR', 'C', 'D', 'BR', 'G', 'Em', 'BR', 'C', 'D', 'BR', 'G', 'BR', 'Em', 'BR', 'C', 'BR', 'D', 'BR', 'G', 'BR', 'Em', 'BR', 'C', 'BR', 'D', 'BR', 'G', 'Em', 'BR', 'C', 'D', 'BR', 'A', 'F#m', 'BR', 'D', 'BR', 'E', 'BR', 'A', 'F#m', 'BR', 'D', 'E', 'BR', 'A', 'BR', 'Fm', 'BR', 'D', 'BR', 'E', 'BR', 'A', 'BR', 'Fm', 'BR', 'D', 'E', 'BR', 'A', 'F#m', 'D', 'E', 'BR', 'C', 'BR', 'Am', 'BR', 'F', 'BR', 'G', 'BR', 'C', 'BR', 'Am', 'BR', 'F', 'BR', 'G', 'BR', 'C', 'Am', 'F', 'G', 'BR']	['G', 'Em', 'BR', 'C', 'D', 'BR', 'G', 'Em', 'BR', 'C', 'D', 'BR', 'G', 'Em', 'BR', 'C', 'D', 'BR', 'G', 'BR', 'Em', 'BR', 'C', 'BR', 'D', 'BR', 'G', 'BR', 'Em', 'BR', 'C', 'BR', 'D', 'BR', 'G', 'Em', 'BR', 'C', 'D', 'BR', 'A', 'F#m', 'BR', 'D', 'BR', 'E', 'BR', 'A', 'F#m', 'BR', 'D', 'E', 'BR', 'A', 'BR', 'Fm', 'BR', 'D', 'BR', 'E', 'BR', 'A', 'BR', 'Fm', 'BR', 'D', 'E', 'BR', 'A', 'F#m', 'D', 'E', 'BR', 'C', 'BR', 'Am', 'BR', 'F', 'BR', 'G', 'BR', 'C', 'BR', 'Am', 'BR', 'F', 'BR', 'G', 'BR', 'C', 'Am', 'F', 'G', 'BR']	<u>G</u>                                               <u>Em</u> <br \>Quiero volver, y encontrarte otra vez <br \>           <u>C</u>                           <u>D</u> <br \>Sentir tu piel latiendo aquí cerca de mí. <br \>          <u>G</u>            <u>Em</u>             <br \>Quiero tener, la valentía que no tuve ayer, <br \>         <u>C</u>                          <u>D</u> <br \>y despertar tu alma dormida y recobrar tu corazón <br \>       <u>G</u>                           <u>Em</u> <br \>Mi recuerdo parte mi pecho en pedazos, <br \>         <u>C</u>                    <u>D</u> <br \>volve pronto necesito de tu amor... <br \><br \>         <u>G</u>              <br \>Si todo fué, tan especial  <br \>          <u>Em</u>  <br \>si hoy te amo y no estás <br \>          <u>C</u>        <br \>quiero saber que hacer conmigo, <br \>           <u>D</u> <br \>si ya no existe mi lugar. <br \>          <u>G</u> <br \>Lo que pasó,pasó después, <br \>         <u>Em</u> <br \>murió mi alma no lo ves <br \>            <u>C</u>       <br \>si vos hoy me siento perdido, <br \>       <u>D</u> <br \>y muy sólo... <br \>      <u>G</u>         <u>Em</u> <br \>Ayudame... <br \>      <u>C</u>         <u>D</u> <br \>Ayudame... <br \><br \><br \>                  (sube un tono) <br \>        <u>A</u>                    <u>F#m</u> <br \>Mi corazón..........no puede aceptar decir adios <br \>           <u>D</u>    <br \>quiero sentirte como antes, <br \>            <u>E</u>  <br \>en donde estés escucháme, <br \>       <u>A</u>                         <u>F#m</u>        <br \>mi recuerdo parte mi hecho en pedazos, <br \>        <u>D</u>                     <u>E</u> <br \>volve pronto necesito de tu amor...! <br \><br \>          <u>A</u>  <br \>Si todo fué tan especial <br \>          <u>Fm</u> sost. <br \>si hoy te amo y si no estás <br \>           <u>D</u>     <br \>quiero saber que hacer conmigo, <br \>           <u>E</u>  <br \>si ya no existe mi lugar, <br \>          <u>A</u> <br \>lo que pasó, pasó y después <br \>         <u>Fm</u> sost. <br \>murió mi alma no lo ves <br \>            <u>D</u>                         <u>E</u> <br \>si vos hoy me siento perdido y muy sólo... <br \>      <u>A</u>          <u>F#m</u>                  <u>D</u>      <u>E</u> <br \>Ayudame........................Ayudame........      <br \>              (sube otro tono) <br \>          <u>C</u>           <br \>Si todo fué tan especial, <br \>          <u>Am</u> <br \>si hoy te amo y si no estás, <br \>          <u>F</u>             <br \>quiero saber que hacer conmigo <br \>          <u>G</u> <br \>y ya no existe mi lugar. <br \>          <u>C</u>  <br \>Lo que pasó, pasó después  <br \>         <u>Am</u> <br \>murió mi alma no lo ves <br \>            <u>F</u> <br \>si vos hoy me siento perdido, <br \>       <u>G</u>   <br \>y voy sólo... <br \>       <u>C</u>              <u>Am</u>             <u>F</u>    <u>G</u> <br \>Ayudame......na na ra na naaa..Ayudame.....
echords	echords-009-sound-system-dreamscape.out	Dreamscape	009 Sound System	deivcavalcanti	tab	None		nolevel	http://www.e-chords.com/tabs/009-sound-system/dreamscape	[]	['BR']	['BR']	Noticed there were no tabs out for this... so I just figured it out in a couple of <br \>minutes. Rather easy. <br \>Anyway, shouldn't be hard to get up to speed and in time quickly, unless you're slightly retarded. <br \><br \><br \>Part 1 <br \>Main progression: <br \>----------------| <br \>----------------| <br \>----------------| <br \>8---6---4-----6-| <br \>6---4---2-----4-| <br \>----------------| <br \><br \>Main low lead:(Weird Ooooh, Ooooh, Oooh, over the main progression) You can do slides <br \>from 2nd fret to all notes in this lead to make it sound better, optional of course.. I <br \>also prefer to vibrato the notes in the lead below (obviously, not the note you slide  <br \>from, but thenotesbelow which you slide to) <br \>----------------| <br \>----------------| <br \>----------------| <br \>----------------| <br \>6---9---6---6-4-| <br \>----------------| <br \><br \>Main electronic lead, progression variation. <br \>Use this variation of the main progression... better with 2 guitars or a loop (one <br \>playing the original power chord progression the other playing the notes on the next  <br \>tabs d <br \>string) Or you could just transpose the d string notes <br \>an octive higher. <br \>----------------| <br \>----------------| <br \>----------------| <br \>8---6---8---6-6-| <br \>6---4---2-----4-| <br \>----------------| <br \>a <br \>Main lead: <br \><br \>------------------------------------| <br \>11p-10h-11-10-8--11p-10h-11-10------|  2nd variation below <br \>-------------------------------11-9-| <br \>------------------------------------| <br \>------------------------------------| <br \>------------------------------------| <br \><br \><br \>----------------------------------| <br \>11p-10h-11-10-8--11p-10h-11-10 8~-| <br \>----------------------------------| <br \>----------------------------------| <br \>----------------------------------| <br \>----------------------------------| <br \><br \><br \>Vocal section. ('You can do anything,you want to') <br \>Progression. <br \>1st time          2nd time             etc <br \>---------------|-------------------| <br \>---------------|-------------------| <br \>---------------|-------------------| <br \>---------------|-------------------| <br \>6---9---13---11|6---9---13---13----| <br \>4---7---11---9-|4---7---11---11----| <br \><br \><br \>Vocal Section. Lead (the actual vocals. I'll try spell it out by separating each <br \>syllable to each note or section of notes (:. But the rhythm should be easy to get once you <br \>listen to it if you find it difficult in tab. <br \><br \><br \>Yooo-ouu|Can-do|An-y|thing|you-want-to| <br \>--------|----|---|---|----| <br \>--------|----|---|---|----| <br \>--------|----|---|---|----| <br \>8--6----|----|--6|6-8|88-6| <br \>------96|--69|9--|---|----| <br \>--------|----|---|---|----| <br \><br \><br \>Yooo-ouu|Can-do|An-y|thing| <br \>--------|----|---|--------| <br \>--------|----|---|--------| <br \>--------|----|---|--------| <br \>8--6----|----|--6|6-------| <br \>------96|--69|9--|--8-----| <br \>--------|----|---|--------| <br \><br \><br \>Last but not least... The SOLO. <br \>Played over the main progression, with first melody also obviously :3 <br \>There's 4 different sections of arpeggio's in this solo. So I'll separate them... <br \>Thereyou go,. pretty sure that's all of it. Enjoy and rate this schizzle 5/5 ;D <br \>-Teddikilla <br \><br \>--------------------|---------------------| <br \>9-------9-------9---|11-9----11-9----11-9-| <br \>--11-10---11-10---11|-----11------11------| <br \>--------------------|---------------------| <br \>--------------------|---------------------| <br \>--------------------|---------------------| <br \><br \><br \>------------------|---------------| <br \>9------9------9---|7-6---7-6---7-6| <br \>--11-8---11-8---11|----6-----6----| <br \>------------------|---------------| <br \>------------------|---------------| <br \>------------------|---------------|
echords	echords-009-sound-system-with-a-spirit.out	With A Spirit	009 Sound System	tamamoreira	chords	Bb		Expert	http://www.e-chords.com/chords/009-sound-system/with-a-spirit	['Bb', 'Eb', 'Gm', 'F', 'Bb', 'Eb', 'Gm', 'F', 'Bb', 'Eb', 'Gm', 'F', 'Eb', 'Bb', 'Eb', 'Gm', 'F', 'Bb', 'Eb', 'Gm', 'F', 'Bb', 'Eb', 'Gm', 'F', 'Eb', 'F', 'Bb', 'Eb', 'F', 'Bb', 'Eb', 'Gm', 'F', 'Bb', 'Eb', 'Gm', 'F']	['Bb', 'Eb', 'Gm', 'F', 'BR', 'Bb', 'Eb', 'BR', 'Gm', 'F', 'BR', 'Bb', 'Eb', 'BR', 'Gm', 'F', 'BR', 'Eb', 'BR', 'Bb', 'Eb', 'Gm', 'F', 'BR', 'Bb', 'Eb', 'BR', 'Gm', 'F', 'BR', 'Bb', 'Eb', 'BR', 'Gm', 'F', 'BR', 'Eb', 'BR', 'F', 'BR', 'Bb', 'Eb', 'BR', 'F', 'BR', 'Bb', 'Eb', 'BR', 'Gm', 'F', 'BR', 'Bb', 'Eb', 'BR', 'Gm', 'F', 'BR']	['Bb', 'Eb', 'Gm', 'F', 'BR', 'Chorus', 'BR', 'Bb', 'Eb', 'BR', 'Gm', 'F', 'BR', 'Bb', 'Eb', 'BR', 'Gm', 'F', 'BR', 'Eb', 'BR', 'Instrumental', 'Bb', 'Eb', 'Gm', 'F', 'BR', 'verse 1', 'BR', 'Bb', 'Eb', 'BR', 'Gm', 'F', 'BR', 'Bb', 'Eb', 'BR', 'Gm', 'F', 'BR', 'Pre-Chorus', 'BR', 'Eb', 'BR', 'F', 'BR', 'Bb', 'Eb', 'BR', 'F', 'BR', 'Chorus', 'BR', 'Instrumental', 'BR', 'verse 2', 'BR', 'Bb', 'Eb', 'BR', 'Gm', 'F', 'BR', 'Bb', 'Eb', 'BR', 'Gm', 'F', 'BR', 'Pre-Chorus', 'BR', 'Chorus', 'BR', 'Instrumental']	Intro <u>Bb</u>, <u>Eb</u>, <u>Gm</u>, <u>F</u> (x2) <br \><i>Chorus</i> <br \><u>Bb</u>                                       <u>Eb</u> <br \>You can be Whatever you want When you're high <br \><u>Gm</u>                                <u>F</u> <br \>Walk slowly With a spirit by your side <br \>          <u>Bb</u>                          <u>Eb</u> <br \>(Oh baby) Don't fear if you lose your mind <br \><u>Gm</u>                                    <u>F</u> <br \>Say “How you doin' boy?” “I'm feelin' fine” <br \>                               <u>Eb</u> <br \>... when somethin' carries me away... hey hey hey hey... <br \><i>Instrumental</i> <u>Bb</u>, <u>Eb</u>, <u>Gm</u>, <u>F</u> (x2) <br \><i>verse 1</i> <br \><u>Bb</u>                                                    <u>Eb</u> <br \>Don't think Just take a ride Don't believe That Jesus lied <br \><u>Gm</u>                                 <u>F</u> <br \>To keep us all so satisfied With a sale You should know baby <br \><u>Bb</u>                           <u>Eb</u> <br \>Don't feel The thorny nights Never ask For holy rites <br \><u>Gm</u>                                    <u>F</u> <br \>Don't ya think That God has died This time <br \><i>Pre-Chorus</i> <br \><u>Eb</u> <br \>And don't stop Takin' these drugs cuz' they <br \><u>F</u> <br \>Got you flyin' forgettin' yesterday <br \><u>Bb</u>                                                 <u>Eb</u> <br \>Maybe it's crazy but keep gettin' stoned while you can <br \>                   <u>F</u> <br \>Baby in the lord's hands <br \><i>Chorus</i> <br \><i>Instrumental</i> <br \><i>verse 2</i> <br \><u>Bb</u>                              <u>Eb</u> <br \>Don't say You know what's right Don't take Those alibis <br \><u>Gm</u>                                     <u>F</u> <br \>Don't hate The other side When they're right Sure they are baby <br \><u>Bb</u>                           <u>Eb</u> <br \>Don't wave Your flag up high Don't praise Your concubines <br \><u>Gm</u>                              <u>F</u> <br \>Did you just Fall for lies This time <br \><i>Pre-Chorus</i> <br \><i>Chorus</i> <br \><i>Instrumental</i>
ultimate-guitar	ultimate-guitar-009-sound-system-tabs-dreamscape-tab.out	Dreamscape Tab	009 Sound System Tabs		Tabs		r_5	novice	http://tabs.ultimate-guitar.com/0-9/009_sound_system/dreamscape_tab.htm	[]	['BR']	['BR']	<i></i>Noticed there were no tabs out for this... so I just figured it out in a couple of <br \>minutes (more like 10). Rather easy. Even mid level beginners could pick this whole song up <br \>under 15 minutes.<br \>Anyway, shouldn't be hard to get up to speed and in time quickly.<br \><br \><br \>Part 1<br \>Main progression:<br \>----------------|<br \>----------------|<br \>----------------|<br \>8---6---4---4-6-|<br \>6---4---2---2-4-|<br \>----------------|<br \><br \>Main low lead:(Weird Ooooh, Ooooh, Oooh, over the main progression) You can do slides<br \>from 2nd fret to all notes in this lead to make it sound better, optional of course.. I<br \>also prefer to vibrato the notes in the lead below.<br \>It's the easiest little lead ever so it's less than simple to transpose it up an octave <br \>if you'd like.<br \><br \>----------------|<br \>----------------|<br \>----------------|<br \>----------------|<br \>6---9---6---6-4-|<br \>----------------|<br \><br \><br \>a<br \>Main lead:<br \><br \>------------------------------------|<br \>------------------------------------|<br \>10p-8h-11-10-8--10p-8h-11-10--------|  2nd variation below<br \>------------------------------11-9~-|<br \>------------------------------------|<br \>------------------------------------|<br \><br \><br \><br \>------------------------------------|<br \>------------------------------------|<br \>10p-8h-11-10-8--10p-8h-11-10 8~-----|<br \>------------------------------------|<br \>------------------------------------|<br \>------------------------------------|<br \><br \><br \><br \>Vocal section. ('You can do anything,you want to')<br \>Progression:<br \>1st time          2nd time             etc<br \>---------------|---------------|<br \>---------------|---------------|<br \>---------------|---------------|<br \>----4---8---6--|----4---8---8--|<br \>6---2---6---4--|6---2---6---6--|<br \>4--------------|4--------------|<br \><br \><br \>Vocal Section. Lead (the actual vocals. I'll try spell it out by separating each <br \>syllable to each note or section of notes.<br \>But the rhythm should be easy to get once you listen to the song.<br \><br \>Yooo-ouu|Can-do|An-y|thing|you-want-to|<br \>--------|----|---|---|----|<br \>--------|----|---|---|----|<br \>--------|----|---|---|----|<br \>8--6----|----|--6|6-8|88-6|<br \>------96|--69|9--|---|----|<br \>--------|----|---|---|----|<br \><br \><br \>Yooo-ouu|Can-do|An-y|thing|<br \>--------|----|---|--------|<br \>--------|----|---|--------|<br \>--------|----|---|--------|<br \>8--6----|----|--6|6-------|<br \>------96|--69|9--|--8-----|<br \>--------|----|---|--------|<br \><br \><br \>Last but not least... The SOLO.<br \>Played over the main progression, with first melody also.<br \>There you go,. pretty sure that's all of it. Enjoy and rate this. Hope it was neat <br \>enough for you to learn quickly<br \>-Teddikilla<br \><br \>Eb5                   Db5<br \>--------------------|---------------------|<br \>9-------9-------9---|11-9----11-9----11-9-|<br \>--11-10---11-10---11|-----11------11------|<br \>--------------------|---------------------|<br \>--------------------|---------------------|<br \>--------------------|---------------------|<br \><br \>B5                  B5     Db5<br \>------------------|---------------|<br \>9------9------9---|7-6---7-6---7-6|<br \>--11-8---11-8---11|----6-----6----|<br \>------------------|---------------|<br \>------------------|---------------|<br \>------------------|---------------|
ultimate-guitar	ultimate-guitar-009-sound-system-tabs-space-and-time-tab.out	Space And Time Tab	009 Sound System Tabs		Tabs		r_3	intermediate	http://tabs.ultimate-guitar.com/0-9/009_sound_system/space_and_time_tab.htm	[]	['BR']	['BR']	<i></i>Song: 009Sounsystem – Space & Time<br \>http://www.myspace.com/009soundsystemofficia<br \><br \>Tabbed By Matt Price aka Gibsonguitaristmatt<br \><br \>KEY:<br \>H = Hammer On<br \>P = Pull Off<br \>T = Tremo or whammy (on sitar can ‘T’ the last note, each time you play the bar)<br \>/ = Slide Up<br \><br \>Intro & throughout song (chords; have to be bar):<br \><br \>   F     Cadd    D#     A#<br \>E|-x------x--------x-------6-----------|<br \>B|-8------x--------x-------6-----------|<br \>G|-10-----5--------8-------7-----------|<br \>D|-10-----5--------8-------8-----------|<br \>A|-8------3--------6-------8-----------|<br \>E|-x------x--------x-------6-----------|<br \><br \>00:03<br \>Intro (Sitar part for guitar):<br \><br \>E|--------------5-6-5-------------|<br \>B|--6--6-6-h-8------8-p-6-h-8-----|<br \>G|--------------------------------|     x3<br \>D|--------------------------------|<br \>A|--------------------------------|<br \>E|--------------------------------|<br \><br \>Then (Intro Sitar still):<br \>E|--------------5-6-5----------------------|<br \>B|--6--6-6-h-8------8-p-6-h-8-PAUSE--p-6---|<br \>G|-----------------------------------------|<br \>D|-----------------------------------------|<br \>A|-----------------------------------------|<br \>E|-----------------------------------------|<br \><br \><br \>00:34<br \>Lead Guitar (Correct notes, you will have to figure out the number of times by ear)<br \>E|-8-8-8-8-8-8-8-8-8-8-8-8--6-6-6-6-6-6-p-5-5-5-h-6-6-6-6-6-6-6-6--------------|<br \>B|-----------------------------------------------------------------6-6-6-6-6---|<br \>G|-----------------------------------------------------------------------------|<br \>D|-----------------------------------------------------------------------------|<br \>A|-----------------------------------------------------------------------------|<br \>E|-----------------------------------------------------------------------------|<br \><br \>Then (miss B string 6 fret at end of bar)<br \>E|-8-8-8-8-8-8-8-8-8-8-8-8--6-6-6-6-6-6-p-5-5-5-h-6-6-6-6-6-6-6-6--|<br \>B|-----------------------------------------------------------------|<br \>G|-----------------------------------------------------------------|<br \>D|-----------------------------------------------------------------|<br \>A|-----------------------------------------------------------------|<br \>E|-----------------------------------------------------------------|<br \><br \>x2 (all of the lead)<br \><br \>1:36<br \>Chord Break:<br \>      F      G      A#<br \>E|----x------x--/----6------x---------------------|<br \>B|----x------x--/----6------x---------------------|<br \>G|---10------x--/----7-----10---------------------|<br \>D|---10------5--/----8-----10---------------------|<br \>A|---8-------5--/----8-----8----------------------|<br \>E|---x-------3--/----6-----x----------------------|       x2<br \><br \><br \>Just 2 other little add on’s if you want:<br \><br \>Firstly When he sings ahh-aaa (0:08) play…<br \><br \>     Ahhhh-----aaa<br \>E|--------------|<br \>B|---8-b-9---6--|<br \>G|--------------|<br \>D|--------------|<br \>A|--------------|<br \>E|--------------|<br \><br \>Secondly when he sings yeah yeah yeah (really quiet at 00:32)<br \><br \>E|--------------------------------------------------------|<br \>B|---8-b-9-b-8-b-9--up and down---then slide down--6------|<br \>G|--------------------------------------------------------|<br \>D|--------------------------------------------------------|<br \>A|--------------------------------------------------------|<br \>E|--------------------------------------------------------|<br \><br \><br \>Matty P<br \>Great Song. I Came Across It Today & Thort It Should be tabbed :D<br \>PEACE & LOVE ALL x<br \><br \>http://www.myspace.com/009soundsystemofficia
ultimate-guitar	ultimate-guitar-009-sound-system-tabs-speak-to-angels-chords.out	Speak To Angels Chords	009 Sound System Tabs		Chords		r_5	None	http://tabs.ultimate-guitar.com/0-9/009_sound_system/speak_to_angels_crd.htm	['C#', 'F#', 'A', 'F#', 'C#', 'A', 'C#', 'A', 'B', 'C#', 'D', 'D', 'A', 'B', 'B', 'A', 'E', 'D', 'B', 'A', 'E', 'F#', 'B', 'A', 'E', 'B', 'A', 'E', 'C#', 'F#', 'A', 'F#']	['C#', 'F#', 'A', 'F#', 'BR', 'C#', 'A', 'BR', 'C#', 'A', 'BR', 'B', 'C#', 'D', 'BR', 'D', 'A', 'BR', 'B', 'BR', 'B', 'BR', 'A', 'E', 'BR', 'D', 'BR', 'B', 'BR', 'A', 'BR', 'E', 'BR', 'F#', 'BR', 'B', 'BR', 'A', 'E', 'BR', 'B', 'BR', 'A', 'E', 'BR', 'C#', 'F#', 'A', 'F#', 'BR']	['C#', 'F#', 'A', 'F#', 'BR', 'C#', 'A', 'BR', 'C#', 'A', 'BR', 'B', 'C#', 'D', 'BR', 'D', 'A', 'BR', 'B', 'BR', 'B', 'BR', 'A', 'E', 'BR', 'D', 'BR', 'B', 'BR', 'A', 'BR', 'E', 'BR', 'F#', 'BR', 'B', 'BR', 'A', 'E', 'BR', 'B', 'BR', 'A', 'E', 'BR', 'C#', 'F#', 'A', 'F#', 'BR']	<i></i>Intro: <span>C#</span>  <span>F#</span>   <span>A</span>    <span>F#</span>  (2 veces)<br \><br \><span>C#</span>                                        <span>A</span><br \>I was there when jesus came down from the cross...<br \><span>C#</span>                                    <span>A</span>          <br \>Everyone was just standin' round like idiots....<br \> <span>B</span>                                        <span>C#</span> <span>D</span>  <br \>These are the things that u can't explain<br \><span>D</span>                               <span>A</span><br \>Killing all of what's makin' u ok<br \>                    <span>B</span><br \>Shouldn't be that way.<br \><br \><br \><span>B</span>          <br \>So this is how to talk when you speak to angels<br \><span>A</span>                                             <span>E</span><br \>Dreamin' while you walk with chimin' bangles yeah<br \>                   <span>D</span><br \>I could see it tonight....<br \><br \><span>B</span>                                               <br \>This is what they say when they tell the story a <br \><span>A</span>             <br \>cold hearts waitin for a moments glory<br \><span>E</span><br \>I....<br \>                   <span>F#</span> <br \>Guess i don't know why...<br \>They're always singin'<br \><br \><span>B</span><br \>My love will take u higher<br \><span>A</span>                         <span>E</span>   <br \>My heart is still on fire yeah...<br \>Wanna hear u say<br \><br \><span>B</span><br \>Your love can take this higher<br \><span>A</span>                             <span>E</span>   <br \>To everything that you desire yeah....<br \>Wanna hear you say<br \><br \>Solo:  <span>C#</span>  <span>F#</span>  <span>A</span>  <span>F#</span> ( 2 veces)<br \><br \>(Lo demás son los mismo acordes: estrofa, coro y puente)<br \><br \><br \>Tell me babe are you feelin' down givin' up your hope<br \>Sure i know that these feelins' they won't let you<br \>Go....<br \><br \>These sort of things shouldn't block your way<br \>And believin's all u need to feel ok....<br \>It should be eaasya....   (Repeat chorus and puente)<br \><br \><br \>Saludos a Georgia y Mostazin
