body,rating,artist,url,title,youtube,comments,difficulty,raw_tab,key,provider,contributor,raw_html,type
,,,http://www.e-chords.com/chords/etiqueta/quizas-o-no/keyboard,Quizás O No ,,,nolevel,"
	  
<i>Intro:</i> <u>C</u>-<u>G</u>-<u>F</u>-<u>G</u> <i>(2x) </i>

<u>C</u>      <u>G</u>      <u>Am</u>        <u>F</u>      <u>G</u> 
Aveces pienso si quiero reír o llorar 
<u>C</u>        <u>G</u>      <u>Am</u>        <u>F</u>       <u>G</u> 
y aveces siento si quiero vivir o morir 
<u>C</u>        <u>G</u>     <u>Am</u>       <u>F</u> 
y aveces trato de no pensar 
      <u>G</u> 
en cambiar y confiar. 
<u>C</u>        <u>G</u>   <u>F</u>        <u>G</u> 
Quizás a vos te pase o no 
<u>C</u>           <u>G</u>           <u>F</u>           <u>G</u> 
lo que mi cantar quiere hacerse oír aquí 
<u>C</u>        <u>G</u>   <u>F</u>        <u>G</u> 
Quizás a vos te pase o no 
<u>C</u>           <u>G</u>           <u>F</u>           <u>G</u>     <u>C</u> 
lo que mi cantar quiere hacerse oír aquí, aquí. 

<u>C</u>-<u>G</u>-<u>F</u>-<u>G</u> <i>(2x) </i>

<u>C</u>     <u>G</u>     <u>F</u>              <u>G</u> 
Pedir ayuda dicen que es lamentar 
<u>C</u>            <u>G</u>           <u>F</u>    <u>G</u> 
pero dar una mano es ayudar. 
<u>C</u>     <u>G</u>       <u>F</u>          <u>G</u> 
Tener respeto te hace aprender 
<u>C</u>       <u>G</u>                <u>F</u>     <u>G</u> 
en esta vida caminar y crecer. 
<u>C</u>        <u>G</u>   <u>F</u>        <u>G</u> 
Quizás a vos te pase o no 
<u>C</u>           <u>G</u>           <u>F</u>           <u>G</u> 
lo que mi cantar quiere hacerse oír aquí 
<u>C</u>        <u>G</u>   <u>F</u>        <u>G</u> 
Quizás a vos te pase o no 
<u>C</u>           <u>G</u>           <u>F</u>           <u>G</u>     <u>C</u> 
lo que mi cantar quiere hacerse oír aquí, aquí. 

<u>C</u>       <u>G</u> 

<u>F</u>       <u>G</u>   <u>C</u> 
Aquí, aquí, aquí. 

<u>C</u>-<u>G</u>-<u>F</u>-<u>G</u> 

<u>C</u>        <u>G</u>   <u>F</u>        <u>G</u> 
Quizás a vos te pase o no 
<u>C</u>          <u>G</u>           <u>F</u>           <u>G</u> 
lo que mi cantar quiere hacerse oír aquí 
<u>C</u>        <u>G</u>   <u>F</u>        <u>G</u> 
Quizás a vos te pase o no 
<u>C</u>           <u>G</u>           <u>F</u>           <u>G</u>      <u>C</u> 
lo que mi cantar quiere hacerse oír aquí, aquí.  
	  ",C,echords,alyslima,,chords
,,,http://www.e-chords.com/chords/every-mothers-son/come-on-down-to-my-boat/keyboard,Come On Down To My Boat ,,,nolevel,"
	  Come On Down To My Boat Baby:Every Mother's Son. 
#2 in 1967. 
            (Capo 1st fret.) 
<div style=""margin-top: 15px; margin-bottom: 15px; white-space: normal;""><div class=""tabbt"" rel=""1"" style=""cursor:pointer;background:url(images/aba_tab.png) top left no-repeat; width: 192px; height: 28px; line-height: 32px; text-align:center;"">hide this tab<img src=""http://static.e-chords.com/images/st5.png"" width=""8"" height=""9"" alt=""Hide"" style=""margin-left: 15px;""></div><div class=""hide_tab"" rel=""1""> <img src=""http://static.e-chords.com/images/curva_up_tab.png"" alt=""tab"" width=""749"" height=""13"" class=""imgtab""><div class=""tab"">Riff#1. 
--------------------------    
--------------------------   
------0--2-0----------0-2-     
--2-2--------2--0--2-2----    
--------------------------    
--------------------------    

Riff#2. 
------------------------ 
------------------------ 
-------0-2-0------------ 
--2-2----------2--0----- into <u>E</u> Chord ////// 
------------------------ 
------------------------ </div><img src=""http://static.e-chords.com/images/curva_down_tab.png"" alt=""tab"" width=""749"" height=""16"" class=""imgtab""></div></div>
#1. 
<u>A</u> 
She sits on the dock a fishin'  

in the water uh, huh..(Riff #1.) 
<u>A</u> 
I don't know her name she's the  
                              
fisherman's daughter uh, huh..(Riff #2.)<u>E</u>////// 

<b>Chorus</b>: 
<u>A</u>       <u>E</u>       <u>D</u>       <u>A</u> 
Come on down to my boat baby. 
<u>A</u>       <u>E</u>          <u>D</u>      <u>A</u> 
Come on down where we can play. 
<u>A</u>       <u>E</u>       <u>D</u>       <u>A</u> 
Come on down to my boat baby. 
<u>A</u>       <u>E</u>          <u>D</u>     <u>A</u> 
Come on down we'll sail away. 

<div style=""margin-top: 15px; margin-bottom: 15px; white-space: normal;""><div class=""tabbt"" rel=""2"" style=""cursor:pointer;background:url(images/aba_tab.png) top left no-repeat; width: 192px; height: 28px; line-height: 32px; text-align:center;"">hide this tab<img src=""http://static.e-chords.com/images/st5.png"" width=""8"" height=""9"" alt=""Hide"" style=""margin-left: 15px;""></div><div class=""hide_tab"" rel=""2""> <img src=""http://static.e-chords.com/images/curva_up_tab.png"" alt=""tab"" width=""749"" height=""13"" class=""imgtab""><div class=""tab"">BREAK: 
------------------------------------------------------------- 
----------0-2-0---------2--------------0-2-0--------2-------- 
------0-2-------------0------------0-2------------0---------- (x1) 
--2-2------------2-2----------2-2-------------2-2------------ 
------------------------------------------------------------- 
------------------------------------------------------------- 

--------------------------    
--------------------------   
------0--2-0----------0-2- (X2) 
--2-2--------2--0--2-2----    
--------------------------    
--------------------------</div><img src=""http://static.e-chords.com/images/curva_down_tab.png"" alt=""tab"" width=""749"" height=""16"" class=""imgtab""></div></div>   

#2. 
<u>A</u> 
She smiled so nice like she wants  

to come with me uh, huh..(Riff #1.) 

But she's tied to the dock and she  
                 
can't get free.(Riff #2.) <u>E</u>/

<b>Chorus</b>: 
<u>A</u>       <u>E</u>       <u>D</u>       <u>A</u> 
Come on down to my boat baby. 
<u>A</u>       <u>E</u>          <u>D</u>      <u>A</u> 
Come on down where we can play. 
<u>A</u>       <u>E</u>       <u>D</u>       <u>A</u> 
Come on down to my boat baby. 
<u>A</u>       <u>E</u>          <u>D</u>     <u>A</u> 
Come on down we'll sail away. 

#3. 
<u>D</u>        <u>A</u>    <u>E</u>         <u>A</u> 
Fish all day, sleep all night. 
<u>D</u>            <u>A</u>        <u>E</u>          <u>A</u> 
Father never lets her out of his sight. 
<u>A</u> 
Soon, I'm gonna have to get my knife 
                   <u>D</u>        <u>A</u> 
and cut that rope..cut that rope. 
     <u>E</u> 
Then we can go fishin' in my little red boat.. 
<u>E7</u>                                    <u>E</u> 
Make you happy in my little red boat..So... 

<b>Chorus</b>: 
<u>A</u>       <u>E</u>       <u>D</u>       <u>A</u> 
Come on down to my boat baby. 
<u>A</u>       <u>E</u>          <u>D</u>      <u>A</u> 
Come on down where we can play. 
<u>A</u>       <u>E</u>       <u>D</u>       <u>A</u> 
Come on down to my boat baby. 
<u>A</u>       <u>E</u>          <u>D</u>     <u>A</u> 
Come on down we'll sail away. 

OUTRO: 
<u>A</u>       <u>E</u>       <u>D</u>       <u>E</u> 
Come on down to my boat baby. 
<u>A</u>       <u>E</u>          <u>D</u>      <u>E</u> 
Come on down where we can play. 
<u>A</u>       <u>E</u>       <u>D</u>       <u>E</u> 
Come on down to my boat baby. 
<u>A</u>       <u>E</u>          <u>D</u>     <u>E</u> 
Come on down we'll sail away. 

<u>A</u> <u>E</u> <u>D</u> <u>E</u>...<u>A</u> <u>E</u> <u>D</u> <u>E</u> (Fade.) 


A sixties smash from Kraziekhat. 
	  ",A#,echords,kraziekhat,,chords
,,,http://www.e-chords.com/chords/ex4/como-girassois/keyboard,Como Girassóis ,,,Beginner,"
	    <u>A</u>                           <u>E</u> 
Lembro toda vez quando passo por aqui 
               <u>Bm</u>     <u>D9</u> 
Neste mesmo caminho 
 <u>A</u>                           <u>E</u> 
Foi a primeira vez que meus olhos 
                        <u>Bm</u>      <u>D9</u> 
Se encantaram por um sorriso 
           <u>Bm</u>             <u>D9</u> 
E como  girassóis  procurando pelo sol 
           <u>Bm</u>                <u>D9</u> 
Como um beija-flor procurando por você 
 <u>A</u>         <u>E</u>             <u>D</u> 
Flores, flores pra lembrar você  
          <u>Dm</u>  
Pra não te esquecer 
 <u>A</u>         <u>E</u>             <u>D</u> 
Flores, flores pra lembrar você 
           <u>Dm</u> 
Pra não te esquecer 
 <u>A</u>                       <u>E</u> 
Seu perfume doce entorpece meus sentidos 
                 <u>Bm</u>       <u>D9</u> 
E eu fico feito menino 
 <u>A</u>                     <u>E</u> 
Brinco com você e se isso é amor  
               <u>Bm</u>     <u>D9</u> 
Quero este destino 
          <u>Bm</u>              <u>D9</u> 
E como borboletas procurando pelo céu 
         <u>Bm</u>            <u>D9</u> 
Como beija-flor procurando por você... 
 
 

	  ",A,echords,didicco,,chords
,,,http://www.e-chords.com/chords/evangelizarte/sem-forcas-pra-caminhar/keyboard,Sem Forças Pra Caminhar ,,,Expert,"
	  <u>D</u>               <u>G</u>    <u>A</u>                  <u>D</u> 
Minha cabeça rodava no peito o coração doía, 
<u>D</u>                 <u>G</u>          <u>A</u>              <u>D</u>  
sentia apodrecer por dentro toda minha alegria 
<u>D</u>                   <u>G</u>    <u>A</u>                   <u>D</u> 
sem forças pra caminhar as trevas me perseguiam 
<u>D</u>              <u>G</u>    <u>A</u>                   <u>D</u>  
o mau fazendo  ô ô Ô viver assim nao podia 
<u>D</u>                           <u>G</u> 
foi quando a luz em min brilhou 
<u>A</u>                   <u>D</u>  
das trevas me libertou  
<u>D</u>                     <u>G</u>      <u>A</u>                 <u>D</u> 
senti  o espirito de Deus e tudo em min se asecendeu, 
( <u>D</u> <u>G</u> <u>A</u> <u>D</u> ) 
Mas só podia ser Jesus só só ...(3x) 

Maelson Wesley ... 
	  ",D,echords,Hemp02,,chords
,,,http://www.e-chords.com/chords/expresso-luz/agua,Água ,,,Easy,"
	  <b>Intro</b>: <u>D6/9</u>, <u>Bb7M</u>, <u>D6/9</u>, <u>Bb7M</u>, <u>D6/9</u>, <u>Bb7M</u>, <u>D6/9</u>, <u>Bb7M</u> 

<u>D6/9</u>      <u>Bb7M</u>     <u>Bm7</u>         <u>G7M/9</u> 
Verso e reverso, chuva e sertão 
<u>Csus</u> 	       <u>Asus</u>         <u>D6/9</u> 
Tempo tá querendo fechar 
<u>D6/9</u>      <u>Bb7M</u>     <u>Bm7</u>         <u>G7M/9</u> 
Água lacrimeja olho de quem sonha 
<u>Csus</u> 	       <u>Asus</u>         <u>D6/9</u> 
Com sertão virando mar 

<u>D6/9</u>      <u>Bb7M</u>     <u>Bm7</u>         <u>G7M/9</u> 
Água e deságua, cachoeira abaixo 
<u>Csus</u> 	      <u>Asus</u>         <u>D6/9</u> 
Quero ver tua queda 
<u>D6/9</u>      <u>Bb7M</u>     <u>Bm7</u>         <u>G7M/9</u> 
Derrubando o descaso deste chão 
<u>Csus</u>         <u>Asus</u>         <u>D6/9</u> 
Irrigando a terra 

<u>G7M</u>                       <u>F#m7(11)</u> 
Água que molhou a rede 
<u>Em7</u>                          <u>F#m7(11)</u> 
De quem tira o pão do mar 
<u>D6/9</u>                   <u>Bm7(11)</u> 
Água que mata a sede 
<u>Csus</u>     <u>Asus</u>    <u>D6/9</u> 
Sede que mata 
                            <u>Bm7(11)</u> 
Pra matar a nossa sede 
<u>Csus</u>     <u>Asus</u>       <u>Bb7M</u> 
Água viva pra tomar 

<u>D6/9</u>         <u>Bb7M</u>    <u>Bm7</u>             <u>G7M/9</u> 
Se escorre, corre sempre para o mar 
<u>Csus</u>               <u>Asus</u>     <u>D6/9</u> 
Quem já viu o mar encher? 
<u>D6/9</u>             <u>D7M</u>    <u>G7M/9</u> 
Daqui desta margem ante tua beleza 
<u>Csus</u>     <u>Asus</u>             <u>D6/9</u> 
Pôr do sol me fez tremer 

<u>D6/9</u>            <u>Bb7M</u>    <u>Bm7</u>           <u>G7M/9</u> 
Não pagou a conta    água já cortou 
<u>Csus</u>               <u>Asus</u>     <u>D6/9</u> 
Nem deu pra fazer café 

<u>D6/9</u>             <u>D7M</u>    <u>Bm7</u>         <u>G7M/9</u> 
Roupa no varal, Maria vem neném 
    <u>Csus</u>          <u>Asus</u>      <u>D6/9</u> 
Menina que virou mulher 

<u>G7M</u>                       <u>F#m7(11)</u> 
Água que molhou a rede 
<u>Em7</u>                          <u>F#m7(11)</u> 
De quem tira o pão do mar 
<u>D6/9</u>                   <u>Bm7(11)</u> 
Água que mata a sede 
<u>Csus</u>     <u>Asus</u>    <u>D6/9</u> 
Sede que mata 
                            <u>Bm7(11)</u> 
Pra matar a nossa sede 
<u>Csus</u>     <u>Asus</u>       <u>Bb7M</u>   <u>Am7</u> (11), <u>Gm7</u>, <u>C79</u>, <u>F7M</u>, <u>Bb7M</u>, <u>Am7</u> (11), <u>Gm7</u> (11), <u>Asus</u> 
Água viva pra tomar               (vocal) ah.... 

<u>D6/9</u>         <u>Bb7M</u>    <u>Bm7</u>           <u>G7M/9</u> 
Pega na rodia,        pote já encheu 
<u>Csus</u>        <u>Asus</u>    <u>D6/9</u> 
Lá no poço de Jacó 
<u>D6/9</u>           <u>D7M</u>    <u>Bm7</u>         <u>G7M/9</u> 
Água que Pilatos quer lavar a mão 
<u>Csus</u>          <u>Asus</u>      <u>D6/9</u> 
Um covarde cidadão 

<u>D6/9</u>         <u>Bb7M</u>    <u>Bm7</u>            <u>G7M/9</u> 
Rio de água viva que lavou minh’alma 
<u>Csus</u>            <u>Asus</u>    <u>D6/9</u> 
Quer lavar teu coração 
<u>D6/9</u>         <u>D7M</u>    <u>Bm7</u>         <u>G7M/9</u> 
Cristo é a fonte e quem dEle provar 
<u>Csus</u>        <u>Asus</u>    <u>D6/9</u> 
Sede nunca mais terá 

<u>G7M</u>                       <u>F#m7(11)</u> 
Água que molhou a rede 
<u>Em7</u>                          <u>F#m7(11)</u> 
De quem tira o pão do mar 
<u>D6/9</u>                   <u>Bm7(11)</u> 
Água que mata a sede 
<u>Csus</u>     <u>Asus</u>    <u>D6/9</u> 
Sede que mata 
                            <u>Bm7(11)</u> 
Pra matar a nossa sede 
<u>Csus</u>     <u>Asus</u>       <u>Bb7M</u>   <u>D6/9</u> 
Água viva pra tomar                

	  ",D,echords,miLhO_23,,chords
,,,http://www.e-chords.com/chords/expresso-luz/seara/keyboard,Seara ,,,nolevel,"
	  
<u>Em</u>             <u>D</u> 
É grande a seara 
      <u>C</u>            <u>B7</u> 
E são poucos os trabalhadores 
   <u>Em</u>                 <u>D</u> 
Rogai ao Senhor da seara 
      <u>C</u>                <u>B7</u> 
Pra que mande mais trabalhadores 
              <u>Em</u>    <u>D</u>  <u>Em</u>  <b>(3x)</b> 
Quem quer ajudar? 
   <u>Em</u> 
O mestre está a chamar 
        <u>G</u> 
Tem trabalho para fazer 
  <u>Em</u> 
Debaixo de sol e chuva 
      <u>G</u> 
A jornada dura vai ser 
   <u>Am</u> 
Juntemos a nossa força 

De braço, mão coração 
   <u>D</u> 
Erguei os olhos e vede 
       <u>B7</u> 
Os campos brancos estão 

<!--R--><div class=""chorus""><img src=""http://static.e-chords.com/images/curva_up_chorus.png"" alt=""tab"" width=""173"" height=""15"" style=""margin-bottom: -5px;""><img src=""http://static.e-chords.com/images/chorus.png"" alt=""chorus"" width=""15"" height=""58"" class=""c_tit""><div class=""inner_chorus"">
   <u>Em</u> 
Os homens são esse campo 
        <u>G</u> 
Onde temos que trabalhar 
    <u>Em</u> 
E quem no arado pegar 
     <u>G</u> 
Que não olhe mais para trás 
     <u>Am</u> 
Quem sai andando e chorando 

No tempo de semear 
      <u>D</u> 
Voltará com muita alegria 
  <u>B7</u> 
E feixes para mostrar

</div><img src=""http://static.e-chords.com/images/curva_down_chorus.png"" alt=""tab"" width=""173"" height=""15"" style=""margin-top: -5px;""></div><!--/R--> 
	  ",Em,echords,ang-letra,,chords
,,,http://www.e-chords.com/chords/city-of-life-worship/im-changed-because-of-you/keyboard,I'm Changed Because Of You ,,,nolevel,"
	  

<i>Verse </i>

<u>A</u> <u>Bm</u> <u>Dmaj7</u> 
There?s a dead man in the grave beneath my name. 
<u>A</u> <u>Bm</u> <u>Dmaj7</u> 
It reminds me of the day my life changed 
<u>A</u> <u>Bm</u> <u>Dmaj7</u> 
Now it is not I, but it is Christ Livin? in 
<u>E</u> <u>F#m</u> <u>D</u> 
Me Oh oh oh oh 
<u>A</u> <u>Bm</u> <u>Dmaj7</u> 
I was lost but now I've found where I belong 
<u>A</u> <u>Bm</u> <u>Dmaj7</u> 
I can never be the way I was before 
<u>A</u> <u>Bm</u> <u>Dmaj7</u> 
Now it is not I, but it is Christ Livin? in 
<u>E</u> <u>F#m</u> <u>D</u> 
Me Oh oh oh oh 
<u>A</u> <u>Bm</u> <u>Dmaj7</u> 
Now it is not I, but it is Christ Livin? in 
<u>E</u> <u>F#m</u> <u>D</u> 
Me Oh oh oh oh 
<u>E</u> <u>F#m</u> <u>D2</u> 
Me Oh oh oh oh 

<!--R--><div class=""chorus""><img src=""http://static.e-chords.com/images/curva_up_chorus.png"" alt=""tab"" width=""173"" height=""15"" style=""margin-bottom: -5px;""><img src=""http://static.e-chords.com/images/chorus.png"" alt=""chorus"" width=""15"" height=""58"" class=""c_tit""><div class=""inner_chorus"">

<u>A</u> <u>Em7</u> <u>G</u> <u>D2</u> 
I'm changed because of You, I'm changed because of You, 
<u>A</u> <u>Em7</u> <u>G</u> 
I'm changed because of You, oh, Lord 
<u>A</u> <u>Em7</u> <u>G</u> <u>D2</u> 
I'm changed because of You, I'm changed because of You, 
<u>A</u> <u>Em7</u> <u>G</u> 
I'm changed because of You, oh, Lord 
</div><img src=""http://static.e-chords.com/images/curva_down_chorus.png"" alt=""tab"" width=""173"" height=""15"" style=""margin-top: -5px;""></div><!--/R-->

<i>VERSE </i>

<u>A</u> <u>Bm</u> <u>Dmaj7</u> 
There?s a dead man in the grave beneath my name. 
<u>A</u> <u>Bm</u> <u>Dmaj7</u> 
It reminds me of the day my life changed 
I'm Changed Because of You ? page 2 
<u>A</u> <u>Bm</u> <u>Dmaj7</u> 
Now it is not I, but it is Christ Livin? in 
<u>E</u> <u>F#m</u> <u>D</u> 
Me Oh oh oh oh 
<u>A</u> <u>Bm</u> <u>Dmaj7</u> 
I was lost but now I've found where I belong 
<u>A</u> <u>Bm</u> <u>Dmaj7</u> 
I can never be the way I was before 
<u>A</u> <u>Bm</u> <u>Dmaj7</u> 
Now it is not I, but it is Christ Livin? in 
<u>E</u> <u>F#m</u> <u>D</u> 
Me Oh oh oh oh 
<u>A</u> <u>Bm</u> <u>Dmaj7</u> 
Now it is not I, but it is Christ Livin? in 
<u>E</u> <u>F#m</u> <u>D</u> 
Me Oh oh oh oh 
<u>E</u> <u>F#m</u> <u>D2</u> 
Me Oh oh oh oh 

<!--R--><div class=""chorus""><img src=""http://static.e-chords.com/images/curva_up_chorus.png"" alt=""tab"" width=""173"" height=""15"" style=""margin-bottom: -5px;""><img src=""http://static.e-chords.com/images/chorus.png"" alt=""chorus"" width=""15"" height=""58"" class=""c_tit""><div class=""inner_chorus"">

<u>A</u> <u>Em7</u> <u>G</u> <u>D2</u> 
I'm changed because of You, I'm changed because of You, 
<u>A</u> <u>Em7</u> <u>G</u> 
I'm changed because of You, oh, Lord </div><img src=""http://static.e-chords.com/images/curva_down_chorus.png"" alt=""tab"" width=""173"" height=""15"" style=""margin-top: -5px;""></div><!--/R-->

<i>INSTL</i> 
<u>D</u> <u>F#m</u> <u>E</u> <u>Esus</u> <u>E</u> 
<u>D</u> <u>F#m</u> <u>E</u> <u>Esus</u> <u>E</u> 


<i>BRIDGE (Repeat 2x)</i> 
<u>D</u> <u>F#m</u> <u>E</u> <u>Esus</u> <u>E</u> 
This is the life that I now live, 
<u>D</u> <u>F#m</u> <u>E</u> <u>Esus</u> <u>E</u> 
This is the life that I now live, 
<u>D</u> <u>F#m</u> <u>E</u> <u>Esus</u> <u>E</u> 
This is the life that I now live, I live by faith 
<u>F#m</u> <u>D</u> 
Oh oh oh oh, 
	  ",A,echords,fernsantana,,chords
,,,http://www.e-chords.com/chords/clausura-gris/o-abismo-ou-a-cura/keyboard,O Abismo Ou A Cura ,,,nolevel,"
	  Introdução: (<u>C7+</u> <u>A9</u>) 4x <u>C</u> <u>D</u> <u>G</u> 

<u>G</u>                                                    <u>D9</u>  
Tempo, tempo, quanto te desejo 
                        <u>Em7</u>                          <u>D#º</u> 
Te perco, te ganho, tento te parar 
                <u>C</u>                        <u>Em/B</u> 
 Se controlo, te levo no colo 
                       <u>Am</u>                          <u>D4</u> <u>D</u> 
Senão te insulto, vivo a te culpar 
<u>G</u>                                         <u>D9</u> 
Me iluda, por mais absurda 
                                <u>Em7</u> 
A verdade nem sempre 
                              <u>A9</u> 
Me pode agradar 
<u>C</u>                     <u>D</u>  	                    <u>G</u> 
 Nem eu pretendo desvendar 
 <u>Am</u>          <u>C</u> 
Vou lá... 
   <u>C</u>                                                       <u>G</u> 
 Pra quem não vive,  o tempo voa 
 <u>Am</u>              <u>C</u> 
 Não há... 
 <u>C</u> 
 Um paraíso 
                   <u>D</u> 
 Sem pessoas 
                 <u>G</u>                                         <u>D9</u> 
Se te espanto com meu desencanto 
                         <u>Em7</u>                              <u>D#º</u> 
Não estou sozinho nesse meu penar 
                 <u>C</u>                                       <u>Em/B</u> 
E me invades com tantas verdades 
                              <u>Am</u>                         <u>D4</u> <u>D</u> 
Não tenho motivos pra me esquivar 
                      <u>G</u>                            <u>D9</u> 
Mas, te imploro, pois, se ignoro 
                         <u>Em7</u>                  <u>D9</u> 
 Talvez aprecie novo despertar 
 <u>C</u>                                <u>D</u>                 <u>G</u> 
 Mas, não me impeça de chegar! 
       <u>Am</u>    <u>C</u> 
Vou lá... 
 <u>C</u>                                              <u>G</u> 
Por que não estou aqui atoa 
<u>Am</u>       <u>C</u> 
 Não há... 
<u>C</u>                                  <u>D</u> <u>D7</u> 
Um paraíso sem pessoas 
<u>G</u>                                                       <u>Bm</u> 
Nada pode me parar, mal consigo esperar 
<u>C</u>                                                    <u>Em/B</u> 
Eu só ouço os meu pensamentos 
                   <u>Am</u>                            <u>D4</u> <u>D</u> 
E olho atento, onde vou chegar? 
                 <u>G</u> 
Eu não sei o que me espera 
                           <u>C7+</u>                               <u>A9</u> 
Na próxima curva, o abismo ou a cura? (Eu não sei...) 
              <u>G</u>                          <u>D/F#</u> 
Descobrir a beleza na minha incerteza 
                 <u>Cm</u>                              <u>G</u> <u>C</u> <u>Cm</u> <u>G</u> 
É um atalho pra minha loucura. 
	  ",C,echords,terr_schmitz,,chords
,,,http://www.e-chords.com/chords/cris-diones/somos-o-corpo/keyboard,Somos O Corpo ,,,nolevel,"
	  
<u>C</u> 
Nós somos o corpo 
                       <u>Am</u>                             <u>G</u> 
Nós somos a voz que declara a salvação 
<u>C</u> 
Nós temos a vida 
                            <u>Am</u>                         <u>G</u> 
A mão que se estende declarando o perdão 
                    <u>Am</u> 
Não podemos parar 
            <u>G</u>                                       <u>F</u> 
Os campos estão prontos a seára é grande 
                   <u>Am</u> 
Não podemos parar 
             <u>G</u>                                      <u>F</u> 
O caminho é longo a Tua igreja se levanta 


                  <u>C</u> 
Vamos levar ao mundo o Teu amor 
                   <u>Am</u> 
Vamos gritar ao mundo há um salvador 
     <u>F</u> 
Jesus Cristo 
Jesus Cristo 
     <u>Am</u>                                  <u>G</u>                               <u>F</u> 
A criação aguarda ouvir a voz dos filhos de Deus 
	  ",C,echords,deivcavalcanti,,chords
,,,http://www.e-chords.com/chords/cris-diones/somos-o-corpo,Somos O Corpo ,,,nolevel,"
	  
<u>C</u> 
Nós somos o corpo 
                       <u>Am</u>                             <u>G</u> 
Nós somos a voz que declara a salvação 
<u>C</u> 
Nós temos a vida 
                            <u>Am</u>                         <u>G</u> 
A mão que se estende declarando o perdão 
                    <u>Am</u> 
Não podemos parar 
            <u>G</u>                                       <u>F</u> 
Os campos estão prontos a seára é grande 
                   <u>Am</u> 
Não podemos parar 
             <u>G</u>                                      <u>F</u> 
O caminho é longo a Tua igreja se levanta 


                  <u>C</u> 
Vamos levar ao mundo o Teu amor 
                   <u>Am</u> 
Vamos gritar ao mundo há um salvador 
     <u>F</u> 
Jesus Cristo 
Jesus Cristo 
     <u>Am</u>                                  <u>G</u>                               <u>F</u> 
A criação aguarda ouvir a voz dos filhos de Deus 
	  ",C,echords,deivcavalcanti,,chords
